Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
19%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.598203424
19%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.717943326
19%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.893884468
19%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.911113437
19%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876409275
19%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.816210479
19%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.75475786
19%,Elastic Shakedown,Extra,OP,1.75.E+08,0,0.495599341
19%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581967229
19%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646940741
19%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718878527
19%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.793005148
19%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.85881396
19%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89749323
19%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.893543635
19%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.861113686
19%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.812290117
19%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.75475782
20%,Elastic Shakedown,Extra,IPC,1.75.E+08,0,0.358853504
20%,Elastic Shakedown,Extra,IPC,1.58.E+08,2.207,0.3987447
20%,Elastic Shakedown,Extra,IPC,1.40.E+08,4.414,0.44858216
20%,Elastic Shakedown,Extra,IPC,1.23.E+08,6.621,0.512697051
20%,Elastic Shakedown,Extra,IPC,1.05.E+08,8.828,0.597039457
20%,Elastic Shakedown,Extra,IPC,8.75.E+07,11.035,0.687101325
20%,Elastic Shakedown,Extra,IPC,7.00.E+07,13.242,0.718983131
20%,Elastic Shakedown,Extra,IPC,5.25.E+07,15.449,0.740858165
20%,Elastic Shakedown,Extra,IPC,3.50.E+07,17.656,0.754014895
20%,Elastic Shakedown,Extra,IPC,1.75.E+07,19.863,0.759500946
20%,Elastic Shakedown,Extra,IPC,0.00.E+00,22.07,0.754757838
20%,Elastic Shakedown,Extra,IPO,1.75.E+08,0,0.358853538
20%,Elastic Shakedown,Extra,IPO,1.58.E+08,2.207,0.398741983
20%,Elastic Shakedown,Extra,IPO,1.40.E+08,4.414,0.448614655
20%,Elastic Shakedown,Extra,IPO,1.23.E+08,6.621,0.512746641
20%,Elastic Shakedown,Extra,IPO,1.05.E+08,8.828,0.598203424
20%,Elastic Shakedown,Extra,IPO,8.75.E+07,11.035,0.717943326
20%,Elastic Shakedown,Extra,IPO,7.00.E+07,13.242,0.893884468
20%,Elastic Shakedown,Extra,IPO,5.25.E+07,15.449,0.911113437
20%,Elastic Shakedown,Extra,IPO,3.50.E+07,17.656,0.876409275
20%,Elastic Shakedown,Extra,IPO,1.75.E+07,19.863,0.816210479
20%,Elastic Shakedown,Extra,IPO,0.00.E+00,22.07,0.75475786
