Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Intra,IPC,30%,Limit load,8.828,1.05E+08,0.642256189
Intra,IPC,30%,Limit load,11.035,8.75E+07,0.684729627
Intra,IPC,30%,Limit load,13.242,7.00E+07,0.721167981
Intra,IPC,30%,Limit load,15.449,5.25E+07,0.745740706
Intra,IPC,30%,Limit load,17.656,3.50E+07,0.747269774
Intra,IPC,30%,Limit load,19.863,1.75E+07,0.723036226
Intra,IPC,30%,Limit load,22.07,0.00E+00,0.681767587
Intra,IPC,50%,Limit load,0,1.75E+08,0.464469246
Intra,IPC,50%,Limit load,2.207,1.58E+08,0.504452905
Intra,IPC,50%,Limit load,4.414,1.40E+08,0.547896706
Intra,IPC,50%,Limit load,6.621,1.23E+08,0.593425296
Intra,IPC,50%,Limit load,8.828,1.05E+08,0.638663277
Intra,IPC,50%,Limit load,11.035,8.75E+07,0.680586015
Intra,IPC,50%,Limit load,13.242,7.00E+07,0.710878186
Intra,IPC,50%,Limit load,15.449,5.25E+07,0.712036332
Intra,IPC,50%,Limit load,17.656,3.50E+07,0.680854224
Intra,IPC,50%,Limit load,19.863,1.75E+07,0.632490835
Intra,IPC,50%,Limit load,22.07,0.00E+00,0.582447617
Intra,OP,30%,Limit load,0,1.75E+08,0.524773149
Intra,OP,30%,Limit load,2.207,1.58E+08,0.581295841
Intra,OP,30%,Limit load,4.414,1.40E+08,0.64600054
Intra,OP,30%,Limit load,6.621,1.23E+08,0.717889948
Intra,OP,30%,Limit load,8.828,1.05E+08,0.792720314
Intra,OP,30%,Limit load,11.035,8.75E+07,0.861033057
Intra,OP,30%,Limit load,13.242,7.00E+07,0.906201188
Intra,OP,30%,Limit load,15.449,5.25E+07,0.897429295
Intra,OP,30%,Limit load,17.656,3.50E+07,0.831170814
Intra,OP,30%,Limit load,19.863,1.75E+07,0.753849061
Intra,OP,30%,Limit load,22.07,0.00E+00,0.681767592
Intra,OP,50%,Limit load,0,1.75E+08,0.522829687
Intra,OP,50%,Limit load,2.207,1.58E+08,0.579165786
Intra,OP,50%,Limit load,4.414,1.40E+08,0.643701959
Intra,OP,50%,Limit load,6.621,1.23E+08,0.71539753
Intra,OP,50%,Limit load,8.828,1.05E+08,0.789910398
Intra,OP,50%,Limit load,11.035,8.75E+07,0.855062269
Intra,OP,50%,Limit load,13.242,7.00E+07,0.866581906
Intra,OP,50%,Limit load,15.449,5.25E+07,0.801033798
Intra,OP,50%,Limit load,17.656,3.50E+07,0.719696714
Intra,OP,50%,Limit load,19.863,1.75E+07,0.645722645
Intra,OP,50%,Limit load,22.07,0.00E+00,0.582447616
Extra,IPO,30%,Limit load,0,1.75E+08,0.46956764
Extra,IPO,30%,Limit load,2.207,1.58E+08,0.530792544
Extra,IPO,30%,Limit load,4.414,1.40E+08,0.604632786
Extra,IPO,30%,Limit load,6.621,1.23E+08,0.691292015
Extra,IPO,30%,Limit load,8.828,1.05E+08,0.788343885
Extra,IPO,30%,Limit load,11.035,8.75E+07,0.887614287
Extra,IPO,30%,Limit load,13.242,7.00E+07,0.969813618
Extra,IPO,30%,Limit load,15.449,5.25E+07,1.022017128
Extra,IPO,30%,Limit load,17.656,3.50E+07,1.000520476
Extra,IPO,30%,Limit load,19.863,1.75E+07,0.889087023
Extra,IPO,30%,Limit load,22.07,0.00E+00,0.754109396
Extra,IPO,50%,Limit load,0,1.75E+08,0.466980218
Extra,IPO,50%,Limit load,2.207,1.58E+08,0.527912454
Extra,IPO,50%,Limit load,4.414,1.40E+08,0.601564972
Extra,IPO,50%,Limit load,6.621,1.23E+08,0.68827561
Extra,IPO,50%,Limit load,8.828,1.05E+08,0.785741085
Extra,IPO,50%,Limit load,11.035,8.75E+07,0.885749773
Extra,IPO,50%,Limit load,13.242,7.00E+07,0.968649896
Extra,IPO,50%,Limit load,15.449,5.25E+07,0.973177421
Extra,IPO,50%,Limit load,17.656,3.50E+07,0.86422493
Extra,IPO,50%,Limit load,19.863,1.75E+07,0.768166677
Extra,IPO,50%,Limit load,22.07,0.00E+00,0.687911698
Extra,IPC,30%,Limit load,0,1.75E+08,0.46956763
Extra,IPC,30%,Limit load,2.207,1.58E+08,0.509997136
Extra,IPC,30%,Limit load,4.414,1.40E+08,0.553825893
Extra,IPC,30%,Limit load,6.621,1.23E+08,0.599513747
Extra,IPC,30%,Limit load,8.828,1.05E+08,0.644883754
Extra,IPC,30%,Limit load,11.035,8.75E+07,0.687555337
Extra,IPC,30%,Limit load,13.242,7.00E+07,0.723783437
Extra,IPC,30%,Limit load,15.449,5.25E+07,0.749514728
Extra,IPC,30%,Limit load,17.656,3.50E+07,0.76233572
Extra,IPC,30%,Limit load,19.863,1.75E+07,0.764962928
Extra,IPC,30%,Limit load,22.07,0.00E+00,0.754109392
Extra,IPC,50%,Limit load,0,1.75E+08,0.46698019
Extra,IPC,50%,Limit load,2.207,1.58E+08,0.507226458
Extra,IPC,50%,Limit load,4.414,1.40E+08,0.550965573
Extra,IPC,50%,Limit load,6.621,1.23E+08,0.596757401
Extra,IPC,50%,Limit load,8.828,1.05E+08,0.642398363
Extra,IPC,50%,Limit load,11.035,8.75E+07,0.685461837
Extra,IPC,50%,Limit load,13.242,7.00E+07,0.722228622
Extra,IPC,50%,Limit load,15.449,5.25E+07,0.7484471
Extra,IPC,50%,Limit load,17.656,3.50E+07,0.761349671
Extra,IPC,50%,Limit load,19.863,1.75E+07,0.747557096
Extra,IPC,50%,Limit load,22.07,0.00E+00,0.687911679
Extra,OP,30%,Limit load,0,1.75E+08,0.5266649
Extra,OP,30%,Limit load,2.207,1.58E+08,0.583355177
Extra,OP,30%,Limit load,4.414,1.40E+08,0.648160529
Extra,OP,30%,Limit load,6.621,1.23E+08,0.720176058
Extra,OP,30%,Limit load,8.828,1.05E+08,0.795025532
Extra,OP,30%,Limit load,11.035,8.75E+07,0.863309569
Extra,OP,30%,Limit load,13.242,7.00E+07,0.910336016
Extra,OP,30%,Limit load,15.449,5.25E+07,0.921110497
Extra,OP,30%,Limit load,17.656,3.50E+07,0.891902663
Extra,OP,30%,Limit load,19.863,1.75E+07,0.829853187
Extra,OP,30%,Limit load,22.07,0.00E+00,0.754109379
Extra,OP,50%,Limit load,0,1.75E+08,0.526382072
Extra,OP,50%,Limit load,2.207,1.58E+08,0.583042675
Extra,OP,50%,Limit load,4.414,1.40E+08,0.647813148
Extra,OP,50%,Limit load,6.621,1.23E+08,0.719788481
Extra,OP,50%,Limit load,8.828,1.05E+08,0.794597168
Extra,OP,50%,Limit load,11.035,8.75E+07,0.862844325
Extra,OP,50%,Limit load,13.242,7.00E+07,0.909799619
Extra,OP,50%,Limit load,15.449,5.25E+07,0.91744305
Extra,OP,50%,Limit load,17.656,3.50E+07,0.849776186
Extra,OP,50%,Limit load,19.863,1.75E+07,0.762988149
Extra,OP,50%,Limit load,22.07,0.00E+00,0.687911681
Crown,IPO,30%,Limit load,0,1.75E+08,0.438904443
Crown,IPO,30%,Limit load,2.207,1.58E+08,0.495944302
Crown,IPO,30%,Limit load,4.414,1.40E+08,0.564229926
Crown,IPO,30%,Limit load,6.621,1.23E+08,0.643716255
Crown,IPO,30%,Limit load,8.828,1.05E+08,0.731992006
Crown,IPO,30%,Limit load,11.035,8.75E+07,0.821498108
Crown,IPO,30%,Limit load,13.242,7.00E+07,0.894825457
Crown,IPO,30%,Limit load,15.449,5.25E+07,0.942840061
Crown,IPO,30%,Limit load,17.656,3.50E+07,0.939128053
Crown,IPO,30%,Limit load,19.863,1.75E+07,0.834480672
Crown,IPO,30%,Limit load,22.07,0.00E+00,0.683548204
Crown,IPO,50%,Limit load,0,1.75E+08,0.415596536
Crown,IPO,50%,Limit load,2.207,1.58E+08,0.469518487
Crown,IPO,50%,Limit load,4.414,1.40E+08,0.533801334
Crown,IPO,50%,Limit load,6.621,1.23E+08,0.60820618
Crown,IPO,50%,Limit load,8.828,1.05E+08,0.689959101
Crown,IPO,50%,Limit load,11.035,8.75E+07,0.771042702
Crown,IPO,50%,Limit load,13.242,7.00E+07,0.834264935
Crown,IPO,50%,Limit load,15.449,5.25E+07,0.856594406
Crown,IPO,50%,Limit load,17.656,3.50E+07,0.793089256
Crown,IPO,50%,Limit load,19.863,1.75E+07,0.704921355
Crown,IPO,50%,Limit load,22.07,0.00E+00,0.620083084
Crown,IPC,30%,Limit load,0,1.75E+08,0.438904434
Crown,IPC,30%,Limit load,2.207,1.58E+08,0.476527151
Crown,IPC,30%,Limit load,4.414,1.40E+08,0.516919993
Crown,IPC,30%,Limit load,6.621,1.23E+08,0.558660645
Crown,IPC,30%,Limit load,8.828,1.05E+08,0.599736466
Crown,IPC,30%,Limit load,11.035,8.75E+07,0.63792326
Crown,IPC,30%,Limit load,13.242,7.00E+07,0.670030805
Crown,IPC,30%,Limit load,15.449,5.25E+07,0.692179977
Crown,IPC,30%,Limit load,17.656,3.50E+07,0.703109983
Crown,IPC,30%,Limit load,19.863,1.75E+07,0.705325744
Crown,IPC,30%,Limit load,22.07,0.00E+00,0.698487618
Crown,IPC,50%,Limit load,0,1.75E+08,0.415596507
Crown,IPC,50%,Limit load,2.207,1.58E+08,0.451142143
Crown,IPC,50%,Limit load,4.414,1.40E+08,0.489105515
Crown,IPC,50%,Limit load,6.621,1.23E+08,0.528090738
Crown,IPC,50%,Limit load,8.828,1.05E+08,0.566084632
Crown,IPC,50%,Limit load,11.035,8.75E+07,0.600792999
Crown,IPC,50%,Limit load,13.242,7.00E+07,0.629098794
Crown,IPC,50%,Limit load,15.449,5.25E+07,0.647443593
Crown,IPC,50%,Limit load,17.656,3.50E+07,0.654107227
Crown,IPC,50%,Limit load,19.863,1.75E+07,0.647280699
Crown,IPC,50%,Limit load,22.07,0.00E+00,0.620083083
Crown,OP,30%,Limit load,0,1.75E+08,0.486935167
Crown,OP,30%,Limit load,2.207,1.58E+08,0.539340637
Crown,OP,30%,Limit load,4.414,1.40E+08,0.599262664
Crown,OP,30%,Limit load,6.621,1.23E+08,0.665845684
Crown,OP,30%,Limit load,8.828,1.05E+08,0.735061605
Crown,OP,30%,Limit load,11.035,8.75E+07,0.797539145
Crown,OP,30%,Limit load,13.242,7.00E+07,0.839392814
Crown,OP,30%,Limit load,15.449,5.25E+07,0.846943451
Crown,OP,30%,Limit load,17.656,3.50E+07,0.818843536
Crown,OP,30%,Limit load,19.863,1.75E+07,0.765271999
Crown,OP,30%,Limit load,22.07,0.00E+00,0.698487612
Crown,OP,50%,Limit load,0,1.75E+08,0.45651691
Crown,OP,50%,Limit load,2.207,1.58E+08,0.505664684
Crown,OP,50%,Limit load,4.414,1.40E+08,0.561820761
Crown,OP,50%,Limit load,6.621,1.23E+08,0.623919875
Crown,OP,50%,Limit load,8.828,1.05E+08,0.687858487
Crown,OP,50%,Limit load,11.035,8.75E+07,0.744097137
Crown,OP,50%,Limit load,13.242,7.00E+07,0.77772736
Crown,OP,50%,Limit load,15.449,5.25E+07,0.776080152
Crown,OP,50%,Limit load,17.656,3.50E+07,0.740736512
Crown,OP,50%,Limit load,19.863,1.75E+07,0.683512583
Crown,OP,50%,Limit load,22.07,0.00E+00,0.620083092
