Thining Rate,Boundary Type,Thining Part,Moment Direction,Moment,Inner Pressure,Multiplier
35%,Elastic Shakedown,Extra,OP,1.58.E+08,2.207,0.581627424
35%,Elastic Shakedown,Extra,OP,1.40.E+08,4.414,0.646589346
35%,Elastic Shakedown,Extra,OP,1.23.E+08,6.621,0.718487942
35%,Elastic Shakedown,Extra,OP,1.05.E+08,8.828,0.792562963
35%,Elastic Shakedown,Extra,OP,8.75.E+07,11.035,0.858321557
35%,Elastic Shakedown,Extra,OP,7.00.E+07,13.242,0.89691453
35%,Elastic Shakedown,Extra,OP,5.25.E+07,15.449,0.892916943
35%,Elastic Shakedown,Extra,OP,3.50.E+07,17.656,0.860518489
35%,Elastic Shakedown,Extra,OP,1.75.E+07,19.863,0.811655387
35%,Elastic Shakedown,Extra,OP,0.00.E+00,22.07,0.754213152
35%,Limit Load,Extra,IPC,1.75.E+08,0,0.470051524
35%,Limit Load,Extra,IPC,1.58.E+08,2.207,0.510523127
35%,Limit Load,Extra,IPC,1.40.E+08,4.414,0.554391284
35%,Limit Load,Extra,IPC,1.23.E+08,6.621,0.600120154
35%,Limit Load,Extra,IPC,1.05.E+08,8.828,0.645480161
35%,Limit Load,Extra,IPC,8.75.E+07,11.035,0.688105718
35%,Limit Load,Extra,IPC,7.00.E+07,13.242,0.724182559
35%,Limit Load,Extra,IPC,5.25.E+07,15.449,0.749720524
35%,Limit Load,Extra,IPC,3.50.E+07,17.656,0.762538777
35%,Limit Load,Extra,IPC,1.75.E+07,19.863,0.765098528
35%,Limit Load,Extra,IPC,0.00.E+00,22.07,0.754213146
35%,Limit Load,Extra,IPO,1.75.E+08,0,0.470051537
35%,Limit Load,Extra,IPO,1.58.E+08,2.207,0.53134005
35%,Limit Load,Extra,IPO,1.40.E+08,4.414,0.605262979
35%,Limit Load,Extra,IPO,1.23.E+08,6.621,0.691984162
35%,Limit Load,Extra,IPO,1.05.E+08,8.828,0.788998062
35%,Limit Load,Extra,IPO,8.75.E+07,11.035,0.88808136
35%,Limit Load,Extra,IPO,7.00.E+07,13.242,0.970031181
35%,Limit Load,Extra,IPO,5.25.E+07,15.449,1.02219649
35%,Limit Load,Extra,IPO,3.50.E+07,17.656,0.999917273
35%,Limit Load,Extra,IPO,1.75.E+07,19.863,0.888556003
35%,Limit Load,Extra,IPO,0.00.E+00,22.07,0.754213145
35%,Limit Load,Extra,OP,1.75.E+08,0,0.526677978
