Thining Part,Moment Direction,Thining Rate,Boundary Type,Inner Pressure,Moment,Multiplier
Crown,IPO,10%,Elastic Shakedown,6.621,1.23E+08,0.489846301
Crown,IPO,10%,Elastic Shakedown,8.828,1.05E+08,0.571539242
Crown,IPO,10%,Elastic Shakedown,11.035,8.75E+07,0.685851392
Crown,IPO,10%,Elastic Shakedown,13.242,7.00E+07,0.863616085
Crown,IPO,10%,Elastic Shakedown,15.449,5.25E+07,0.886176526
Crown,IPO,10%,Elastic Shakedown,17.656,3.50E+07,0.859197527
Crown,IPO,10%,Elastic Shakedown,19.863,1.75E+07,0.800849153
Crown,IPO,10%,Elastic Shakedown,22.07,0.00E+00,0.738646904
Crown,IPO,10%,Limit Load,0,1.75E+08,0.462143065
Crown,IPO,10%,Limit Load,2.207,1.58E+08,0.522280884
Crown,IPO,10%,Limit Load,4.414,1.40E+08,0.594503359
Crown,IPO,10%,Limit Load,6.621,1.23E+08,0.678778841
Crown,IPO,10%,Limit Load,8.828,1.05E+08,0.772749933
Crown,IPO,10%,Limit Load,11.035,8.75E+07,0.868816769
Crown,IPO,10%,Limit Load,13.242,7.00E+07,0.947890228
Crown,IPO,10%,Limit Load,15.449,5.25E+07,0.999091928
Crown,IPO,10%,Limit Load,17.656,3.50E+07,0.986049004
Crown,IPO,10%,Limit Load,19.863,1.75E+07,0.876199591
Crown,IPO,10%,Limit Load,22.07,0.00E+00,0.7386469
Crown,IPC,10%,Elastic Shakedown,0,1.75E+08,0.342826817
Crown,IPC,10%,Elastic Shakedown,2.207,1.58E+08,0.380937075
Crown,IPC,10%,Elastic Shakedown,4.414,1.40E+08,0.428583355
Crown,IPC,10%,Elastic Shakedown,6.621,1.23E+08,0.489814483
Crown,IPC,10%,Elastic Shakedown,8.828,1.05E+08,0.5707365
Crown,IPC,10%,Elastic Shakedown,11.035,8.75E+07,0.67047258
Crown,IPC,10%,Elastic Shakedown,13.242,7.00E+07,0.701400219
Crown,IPC,10%,Elastic Shakedown,15.449,5.25E+07,0.722444664
Crown,IPC,10%,Elastic Shakedown,17.656,3.50E+07,0.735440081
